Leksand;15 358;2 944;15 374;2 746;15 354;2 665;15 298;2 753;15 210;2 508;15 227;2 938;7 552;3 070;100,00 %;100,00 %;99,95 %;99,93 %;99,99 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;95,11 %;91,51 %;99,87 %;99,93 %;99,88 %;100,00 %;99,89 %;99,85 %;99,95 %;99,88 %;99,99 %;100,00 %;100,00 %;100,00 %;82,17 %;75,44 %;82,26 %;76,88 %;82,30 %;78,42 %;86,19 %;82,35 %;99,48 %;99,16 %;99,99 %;100,00 %;99,99 %;100,00 %;36,43 %;32,93 %;52,28 %;45,85 %;71,24 %;63,94 %;9,11 %;7,27 %;10,90 %;8,19 %;10,64 %;9,64 %;11,84 %;11,73 %;14,31 %;14,15 %;16,46 %;16,44 %;25,19 %;21,21 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ludvika;25 602;2 308;25 733;2 214;25 890;2 050;25 662;2 133;25 725;2 200;25 793;2 223;13 844;2 183;100,00 %;100,00 %;100,00 %;100,00 %;99,99 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;99,99 %;100,00 %;96,91 %;91,59 %;99,70 %;99,01 %;99,74 %;99,32 %;99,73 %;99,06 %;99,98 %;99,91 %;99,99 %;99,96 %;99,99 %;100,00 %;77,88 %;72,44 %;78,20 %;73,40 %;79,84 %;78,24 %;91,00 %;86,36 %;99,77 %;99,14 %;99,98 %;99,87 %;99,94 %;99,95 %;50,83 %;42,36 %;52,76 %;44,49 %;80,58 %;64,50 %;32,10 %;23,35 %;28,00 %;16,71 %;31,68 %;22,34 %;31,88 %;22,13 %;33,28 %;24,09 %;33,85 %;26,59 %;53,15 %;30,23 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malung-Sälen;10 386;2 452;10 413;2 151;10 359;2 142;10 265;2 273;10 180;2 226;10 064;2 303;5 181;2 279;99,99 %;99,92 %;99,99 %;100,00 %;99,99 %;99,95 %;99,98 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;92,86 %;90,91 %;98,73 %;98,14 %;98,70 %;98,41 %;99,27 %;98,68 %;99,57 %;99,24 %;99,71 %;99,44 %;100,00 %;100,00 %;78,32 %;73,94 %;78,77 %;75,69 %;78,97 %;77,68 %;85,31 %;83,46 %;99,30 %;98,83 %;99,60 %;99,22 %;99,96 %;99,96 %;17,52 %;18,87 %;18,36 %;19,80 %;73,13 %;64,68 %;2,37 %;2,45 %;1,16 %;0,79 %;0,96 %;0,70 %;1,35 %;1,14 %;1,66 %;1,44 %;2,53 %;3,08 %;3,53 %;4,12 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mora;20 153;3 627;20 146;3 495;20 153;3 574;20 107;3 795;20 083;3 656;19 999;3 857;10 055;3 982;99,99 %;100,00 %;99,99 %;100,00 %;99,99 %;100,00 %;99,99 %;99,97 %;99,99 %;99,97 %;99,99 %;99,97 %;99,99 %;99,97 %;96,99 %;95,09 %;99,63 %;99,31 %;99,70 %;99,27 %;99,87 %;99,68 %;99,91 %;99,89 %;99,95 %;99,92 %;99,99 %;99,97 %;83,17 %;80,87 %;82,17 %;79,71 %;90,69 %;89,51 %;94,60 %;92,86 %;99,91 %;99,89 %;99,95 %;99,92 %;99,99 %;99,97 %;46,69 %;38,46 %;50,51 %;42,49 %;69,82 %;57,36 %;28,77 %;23,79 %;25,12 %;16,71 %;26,80 %;18,89 %;27,47 %;20,18 %;28,75 %;21,28 %;29,85 %;22,69 %;38,20 %;21,27 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orsa;6 986;1 311;6 930;1 150;6 918;1 183;6 866;1 263;6 833;1 202;6 847;1 246;3 460;1 310;99,77 %;99,39 %;99,91 %;100,00 %;99,96 %;100,00 %;99,97 %;100,00 %;100,00 %;100,00 %;99,97 %;100,00 %;99,91 %;99,92 %;94,70 %;89,47 %;99,34 %;98,26 %;99,41 %;98,99 %;99,50 %;99,13 %;99,93 %;99,92 %;99,90 %;99,84 %;99,91 %;99,92 %;71,76 %;61,63 %;71,77 %;60,26 %;72,30 %;63,65 %;75,81 %;68,01 %;99,85 %;99,92 %;99,90 %;99,84 %;99,83 %;99,85 %;19,14 %;10,57 %;23,05 %;15,49 %;39,22 %;27,86 %;6,64 %;4,81 %;2,16 %;2,17 %;9,31 %;4,31 %;12,35 %;5,70 %;18,16 %;8,90 %;20,71 %;12,28 %;27,63 %;11,91 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rättvik;10 846;2 123;10 794;1 955;10 807;1 867;10 856;1 920;10 795;1 764;10 759;2 058;5 532;2 201;99,97 %;99,91 %;100,00 %;99,90 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;97,34 %;96,28 %;99,76 %;99,80 %;99,75 %;99,89 %;99,74 %;99,90 %;99,99 %;100,00 %;99,99 %;100,00 %;100,00 %;100,00 %;84,68 %;79,60 %;84,19 %;79,44 %;84,16 %;81,09 %;89,82 %;87,45 %;99,99 %;100,00 %;99,99 %;100,00 %;100,00 %;100,00 %;39,39 %;35,49 %;45,21 %;39,07 %;62,91 %;50,16 %;17,64 %;11,16 %;12,12 %;5,93 %;16,39 %;9,75 %;17,11 %;10,99 %;20,84 %;17,12 %;23,53 %;18,66 %;27,91 %;16,49 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Smedjebacken;10 661;1 293;10 682;1 213;10 631;1 066;10 580;1 091;10 561;1 100;10 601;1 110;5 211;1 109;99,93 %;99,85 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;94,35 %;91,03 %;99,69 %;99,67 %;99,54 %;98,87 %;99,20 %;98,08 %;99,88 %;99,91 %;99,88 %;99,73 %;100,00 %;100,00 %;73,41 %;67,75 %;73,18 %;65,95 %;73,25 %;67,92 %;79,98 %;73,79 %;99,76 %;99,82 %;99,88 %;99,73 %;99,98 %;100,00 %;29,68 %;23,09 %;40,02 %;30,72 %;66,30 %;48,42 %;20,63 %;15,70 %;14,33 %;6,92 %;16,41 %;11,07 %;18,53 %;11,82 %;17,97 %;12,18 %;23,35 %;18,20 %;31,99 %;18,21 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Säter;10 955;1 562;10 901;1 490;10 844;1 339;10 865;1 406;10 852;1 434;10 880;1 460;5 151;1 536;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;96,89 %;93,60 %;99,74 %;99,19 %;99,72 %;99,40 %;99,80 %;99,57 %;99,95 %;99,93 %;100,00 %;100,00 %;100,00 %;100,00 %;80,47 %;68,18 %;80,45 %;66,04 %;80,75 %;69,53 %;97,11 %;96,37 %;99,82 %;99,65 %;100,00 %;100,00 %;100,00 %;100,00 %;27,56 %;18,55 %;44,07 %;31,03 %;64,01 %;46,68 %;0,00 %;0,00 %;1,39 %;1,07 %;2,38 %;2,09 %;11,46 %;5,97 %;15,21 %;8,93 %;21,82 %;14,86 %;30,13 %;12,11 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vansbro;6 916;1 369;6 876;1 238;6 805;1 183;6 818;1 239;6 779;1 258;6 730;1 242;3 404;1 299;99,96 %;99,85 %;99,99 %;100,00 %;99,99 %;100,00 %;99,91 %;99,92 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;92,32 %;86,41 %;97,86 %;96,12 %;98,31 %;97,21 %;98,34 %;97,09 %;99,88 %;99,68 %;99,96 %;99,60 %;100,00 %;100,00 %;74,67 %;65,23 %;74,78 %;65,51 %;75,09 %;68,72 %;75,67 %;69,33 %;99,88 %;99,68 %;99,96 %;99,60 %;99,97 %;99,92 %;24,16 %;20,99 %;24,93 %;22,06 %;39,75 %;23,17 %;0,00 %;0,00 %;2,41 %;2,18 %;5,94 %;4,06 %;7,52 %;4,20 %;8,41 %;4,29 %;9,30 %;5,15 %;27,41 %;9,47 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Älvdalen;7 286;1 429;7 285;1 148;7 206;1 154;7 183;1 289;7 138;1 273;7 094;1 367;3 306;1 402;99,45 %;99,44 %;99,45 %;99,48 %;99,53 %;99,83 %;99,68 %;99,84 %;99,68 %;99,84 %;100,00 %;100,00 %;99,97 %;100,00 %;93,18 %;89,85 %;97,17 %;97,04 %;97,06 %;97,92 %;98,44 %;98,29 %;98,82 %;98,51 %;99,59 %;99,05 %;99,97 %;100,00 %;85,18 %;80,41 %;84,43 %;83,62 %;84,67 %;84,66 %;85,63 %;85,03 %;98,12 %;97,96 %;99,18 %;98,61 %;99,76 %;99,50 %;7,47 %;10,13 %;21,53 %;18,51 %;33,21 %;22,04 %;0,60 %;0,42 %;0,08 %;0,17 %;0,08 %;0,17 %;0,07 %;0,31 %;0,20 %;0,55 %;9,83 %;6,14 %;19,09 %;10,63 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
